barcode,in_tissue,array_row,array_col,pxl_row_in_fullres,pxl_col_in_fullres
15um-001-001,1,1,1,33,33
15um-001-002,1,1,2,33,73
15um-001-003,1,1,3,33,113
15um-001-004,1,1,4,33,153
15um-001-005,1,1,5,33,193
15um-001-006,1,1,6,33,233
15um-001-007,1,1,7,33,273
15um-001-008,1,1,8,33,313
15um-001-009,1,1,9,33,353
15um-001-010,1,1,10,33,393
15um-001-011,1,1,11,33,433
15um-001-012,1,1,12,33,473
15um-001-013,1,1,13,33,513
15um-001-014,1,1,14,33,553
15um-001-015,1,1,15,33,593
15um-001-016,1,1,16,33,633
15um-001-017,1,1,17,33,673
15um-001-018,1,1,18,33,713
15um-001-019,1,1,19,33,753
15um-001-020,1,1,20,33,793
15um-001-021,1,1,21,33,833
15um-001-022,1,1,22,33,873
15um-001-023,1,1,23,33,913
15um-001-024,1,1,24,33,953
15um-001-025,1,1,25,33,993
15um-001-026,1,1,26,33,1033
15um-001-027,1,1,27,33,1073
15um-001-028,1,1,28,33,1113
15um-001-029,1,1,29,33,1153
15um-001-030,1,1,30,33,1193
15um-001-031,1,1,31,33,1233
15um-001-032,1,1,32,33,1273
15um-001-033,1,1,33,33,1313
15um-001-034,1,1,34,33,1353
15um-001-035,1,1,35,33,1393
15um-001-036,1,1,36,33,1433
15um-001-037,1,1,37,33,1473
15um-001-038,1,1,38,33,1513
15um-001-039,1,1,39,33,1553
15um-001-040,1,1,40,33,1593
15um-001-041,1,1,41,33,1633
15um-001-042,1,1,42,33,1673
15um-001-043,1,1,43,33,1713
15um-001-044,1,1,44,33,1753
15um-001-045,1,1,45,33,1793
15um-001-046,1,1,46,33,1833
15um-001-047,1,1,47,33,1873
15um-001-048,1,1,48,33,1913
15um-001-049,1,1,49,33,1953
15um-001-050,1,1,50,33,1993
15um-001-051,1,1,51,33,2033
15um-001-052,1,1,52,33,2073
15um-001-053,1,1,53,33,2113
15um-001-054,1,1,54,33,2153
