barcode,in_tissue,array_row,array_col,pxl_row_in_fullres,pxl_col_in_fullres
50um-001-001,1,1,1,75,75
50um-001-002,1,1,2,75,175
50um-001-003,1,1,3,75,275
50um-001-004,1,1,4,75,375
50um-001-005,1,1,5,75,475
50um-001-006,1,1,6,75,575
50um-001-007,1,1,7,75,675
50um-001-008,1,1,8,75,775
50um-001-009,1,1,9,75,875
50um-001-010,1,1,10,75,975
50um-001-011,1,1,11,75,1075
50um-001-012,1,1,12,75,1175
50um-001-013,1,1,13,75,1275
50um-001-014,1,1,14,75,1375
50um-001-015,1,1,15,75,1475
50um-001-016,1,1,16,75,1575
50um-001-017,1,1,17,75,1675
50um-001-018,1,1,18,75,1775
50um-001-019,1,1,19,75,1875
50um-001-020,1,1,20,75,1975
50um-001-021,1,1,21,75,2075
50um-001-022,1,1,22,75,2175
50um-001-023,1,1,23,75,2275
50um-001-024,1,1,24,75,2375
50um-001-025,1,1,25,75,2475
50um-001-026,1,1,26,75,2575
50um-001-027,1,1,27,75,2675
50um-001-028,1,1,28,75,2775
50um-001-029,1,1,29,75,2875
50um-001-030,1,1,30,75,2975
50um-001-031,1,1,31,75,3075
50um-001-032,1,1,32,75,3175
50um-001-033,1,1,33,75,3275
50um-001-034,1,1,34,75,3375
50um-001-035,1,1,35,75,3475
50um-001-036,1,1,36,75,3575
50um-001-037,1,1,37,75,3675
50um-001-038,1,1,38,75,3775
50um-001-039,1,1,39,75,3875
50um-001-040,1,1,40,75,3975
50um-001-041,1,1,41,75,4075
50um-001-042,1,1,42,75,4175
50um-001-043,1,1,43,75,4275
50um-001-044,1,1,44,75,4375
50um-001-045,1,1,45,75,4475
50um-001-046,1,1,46,75,4575
50um-001-047,1,1,47,75,4675
50um-001-048,1,1,48,75,4775
50um-001-049,1,1,49,75,4875
50um-001-050,1,1,50,75,4975
50um-001-051,1,1,51,75,5075
50um-001-052,1,1,52,75,5175
50um-001-053,1,1,53,75,5275
50um-001-054,1,1,54,75,5375
50um-001-055,1,1,55,75,5475
50um-001-056,1,1,56,75,5575
50um-001-057,1,1,57,75,5675
50um-001-058,1,1,58,75,5775
50um-001-059,1,1,59,75,5875
50um-001-060,1,1,60,75,5975
50um-001-061,1,1,61,75,6075
50um-001-062,1,1,62,75,6175
50um-001-063,1,1,63,75,6275
50um-001-064,1,1,64,75,6375
50um-002-001,1,2,1,175,75
50um-002-002,1,2,2,175,175
50um-002-003,1,2,3,175,275
50um-002-004,1,2,4,175,375
50um-002-005,1,2,5,175,475
50um-002-006,1,2,6,175,575
50um-002-007,1,2,7,175,675
50um-002-008,1,2,8,175,775
50um-002-009,1,2,9,175,875
50um-002-010,1,2,10,175,975
50um-002-011,1,2,11,175,1075
50um-002-012,1,2,12,175,1175
50um-002-013,1,2,13,175,1275
50um-002-014,1,2,14,175,1375
50um-002-015,1,2,15,175,1475
50um-002-016,1,2,16,175,1575
50um-002-017,1,2,17,175,1675
50um-002-018,1,2,18,175,1775
50um-002-019,1,2,19,175,1875
50um-002-020,1,2,20,175,1975
50um-002-021,1,2,21,175,2075
50um-002-022,1,2,22,175,2175
50um-002-023,1,2,23,175,2275
50um-002-024,1,2,24,175,2375
50um-002-025,1,2,25,175,2475
50um-002-026,1,2,26,175,2575
50um-002-027,1,2,27,175,2675
50um-002-028,1,2,28,175,2775
50um-002-029,1,2,29,175,2875
50um-002-030,1,2,30,175,2975
50um-002-031,1,2,31,175,3075
50um-002-032,1,2,32,175,3175
50um-002-033,1,2,33,175,3275
50um-002-034,1,2,34,175,3375
50um-002-035,1,2,35,175,3475
50um-002-036,1,2,36,175,3575
50um-002-037,1,2,37,175,3675
50um-002-038,1,2,38,175,3775
50um-002-039,1,2,39,175,3875
50um-002-040,1,2,40,175,3975
50um-002-041,1,2,41,175,4075
50um-002-042,1,2,42,175,4175
50um-002-043,1,2,43,175,4275
50um-002-044,1,2,44,175,4375
50um-002-045,1,2,45,175,4475
50um-002-046,1,2,46,175,4575
50um-002-047,1,2,47,175,4675
50um-002-048,1,2,48,175,4775
50um-002-049,1,2,49,175,4875
50um-002-050,1,2,50,175,4975
50um-002-051,1,2,51,175,5075
50um-002-052,1,2,52,175,5175
50um-002-053,1,2,53,175,5275
50um-002-054,1,2,54,175,5375
50um-002-055,1,2,55,175,5475
50um-002-056,1,2,56,175,5575
50um-002-057,1,2,57,175,5675
50um-002-058,1,2,58,175,5775
50um-002-059,1,2,59,175,5875
50um-002-060,1,2,60,175,5975
50um-002-061,1,2,61,175,6075
50um-002-062,1,2,62,175,6175
50um-002-063,1,2,63,175,6275
50um-002-064,1,2,64,175,6375
50um-003-001,1,3,1,275,75
50um-003-002,1,3,2,275,175
50um-003-003,1,3,3,275,275
50um-003-004,1,3,4,275,375
50um-003-005,1,3,5,275,475
50um-003-006,1,3,6,275,575
50um-003-007,1,3,7,275,675
50um-003-008,1,3,8,275,775
50um-003-009,1,3,9,275,875
50um-003-010,1,3,10,275,975
50um-003-011,1,3,11,275,1075
50um-003-012,1,3,12,275,1175
50um-003-013,1,3,13,275,1275
50um-003-014,1,3,14,275,1375
50um-003-015,1,3,15,275,1475
50um-003-016,1,3,16,275,1575
50um-003-017,1,3,17,275,1675
50um-003-018,1,3,18,275,1775
50um-003-019,1,3,19,275,1875
50um-003-020,1,3,20,275,1975
50um-003-021,1,3,21,275,2075
50um-003-022,1,3,22,275,2175
50um-003-023,1,3,23,275,2275
50um-003-024,1,3,24,275,2375
50um-003-025,1,3,25,275,2475
50um-003-026,1,3,26,275,2575
50um-003-027,1,3,27,275,2675
50um-003-028,1,3,28,275,2775
50um-003-029,1,3,29,275,2875
50um-003-030,1,3,30,275,2975
50um-003-031,1,3,31,275,3075
50um-003-032,1,3,32,275,3175
50um-003-033,1,3,33,275,3275
50um-003-034,1,3,34,275,3375
50um-003-035,1,3,35,275,3475
50um-003-036,1,3,36,275,3575
50um-003-037,1,3,37,275,3675
50um-003-038,1,3,38,275,3775
50um-003-039,1,3,39,275,3875
50um-003-040,1,3,40,275,3975
50um-003-041,1,3,41,275,4075
50um-003-042,1,3,42,275,4175
50um-003-043,1,3,43,275,4275
50um-003-044,1,3,44,275,4375
50um-003-045,1,3,45,275,4475
50um-003-046,1,3,46,275,4575
50um-003-047,1,3,47,275,4675
50um-003-048,1,3,48,275,4775
50um-003-049,1,3,49,275,4875
50um-003-050,1,3,50,275,4975
50um-003-051,1,3,51,275,5075
50um-003-052,1,3,52,275,5175
50um-003-053,1,3,53,275,5275
50um-003-054,1,3,54,275,5375
50um-003-055,1,3,55,275,5475
50um-003-056,1,3,56,275,5575
